"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Vandalia","IL","1777317","=""1777317""","17.97"
"Varna","IL","1777395","=""1777395""","N/A"
"Venedy","IL","1777408","=""1777408""","N/A"
"Venetian Village","IL","1777460","=""1777460""","N/A"
"Venice","IL","1777473","=""1777473""","107.81"
"Vergennes","IL","1777525","=""1777525""","N/A"
"Vermilion","IL","1777551","=""1777551""","N/A"
"Vermont","IL","1777642","=""1777642""","N/A"
"Vernon","IL","1777681","=""1777681""","N/A"
"Vernon Hills","IL","1777694","=""1777694""","24.85"
"Verona","IL","1777707","=""1777707""","N/A"
"Versailles","IL","1777720","=""1777720""","N/A"
"Victoria","IL","1777811","=""1777811""","N/A"
"Vienna","IL","1777863","=""1777863""","76.85"
"Villa Grove","IL","1777941","=""1777941""","20.76"
"Villa Park","IL","1777993","=""1777993""","0.00"
"Viola","IL","1778123","=""1778123""","N/A"
"Virden","IL","1778149","=""1778149""","3.59"
"Virgil","IL","1778175","=""1778175""","N/A"
"Virginia","IL","1778201","=""1778201""","0.00"
"Volo","IL","1778227","=""1778227""","0.00"
"Wadsworth","IL","1778370","=""1778370""","0.00"
"Waggoner","IL","1778383","=""1778383""","N/A"
"Walnut","IL","1778526","=""1778526""","41.33"
"Walnut Hill","IL","1778604","=""1778604""","N/A"
"Walshville","IL","1778656","=""1778656""","N/A"
"Waltonville","IL","1778708","=""1778708""","N/A"
"Wamac","IL","1778721","=""1778721""","0.00"
"Wapella","IL","1778773","=""1778773""","N/A"
"Warren","IL","1778851","=""1778851""","76.67"
"Warrensburg","IL","1778916","=""1778916""","0.00"
"Warrenville","IL","1778929","=""1778929""","0.00"
"Warsaw","IL","1778942","=""1778942""","0.00"
"Washburn","IL","1779007","=""1779007""","29.63"
"Washington","IL","1779033","=""1779033""","4.99"
"Washington Park","IL","1779085","=""1779085""","0.00"
"Wataga","IL","1779124","=""1779124""","N/A"
"Waterloo","IL","1779150","=""1779150""","12.51"
"Waterman","IL","1779163","=""1779163""","6.88"
"Watseka","IL","1779228","=""1779228""","14.47"
"Watson","IL","1779241","=""1779241""","N/A"
"Wauconda","IL","1779267","=""1779267""","8.25"
"Waukegan","IL","1779293","=""1779293""","N/A"
"Waverly","IL","1779358","=""1779358""","0.00"
"Wayne","IL","1779397","=""1779397""","N/A"
"Wayne City","IL","1779436","=""1779436""","N/A"
"Waynesville","IL","1779449","=""1779449""","N/A"
"Weldon","IL","1779683","=""1779683""","N/A"
"Wellington","IL","1779735","=""1779735""","N/A"
"Wenona","IL","1779813","=""1779813""","25.17"
"Wenonah","IL","1779826","=""1779826""","N/A"
"West Brooklyn","IL","1780008","=""1780008""","N/A"
"Westchester","IL","1780047","=""1780047""","0.00"
"West Chicago","IL","1780060","=""1780060""","25.56"
"West City","IL","1780073","=""1780073""","N/A"
"West Dundee","IL","1780125","=""1780125""","12.00"
"Western Springs","IL","1780242","=""1780242""","0.00"
"Westervelt","IL","1780255","=""1780255""","N/A"
"Westfield","IL","1780281","=""1780281""","N/A"
"West Frankfort","IL","1780333","=""1780333""","30.93"
"Westmont","IL","1780645","=""1780645""","21.26"
"West Peoria","IL","1780736","=""1780736""","9.77"
"West Point","IL","1780762","=""1780762""","N/A"
"West Salem","IL","1780853","=""1780853""","N/A"
"West Union","IL","1780879","=""1780879""","N/A"
"Westville","IL","1780931","=""1780931""","0.00"
"West York","IL","1780957","=""1780957""","N/A"
"Wheaton","IL","1781048","=""1781048""","N/A"
"Wheeler","IL","1781074","=""1781074""","N/A"
"Wheeling","IL","1781087","=""1781087""","6.71"
"Whiteash","IL","1781165","=""1781165""","N/A"
"White City","IL","1781191","=""1781191""","N/A"
"White Hall","IL","1781256","=""1781256""","61.05"
"White Heath","IL","1781295","=""1781295""","N/A"
"Williamsfield","IL","1781802","=""1781802""","N/A"
"Williamson","IL","1781815","=""1781815""","N/A"
"Williamsville","IL","1781854","=""1781854""","0.00"
"Willisville","IL","1781867","=""1781867""","N/A"
"Willowbrook","IL","1781919","=""1781919""","0.00"
"Willowbrook","IL","1781938","=""1781938""","N/A"
"Willow Hill","IL","1782010","=""1782010""","N/A"
"Willow Springs","IL","1782049","=""1782049""","0.00"
"Wilmette","IL","1782075","=""1782075""","27.01"
"Wilmington","IL","1782088","=""1782088""","28.25"
"Wilmington","IL","1782101","=""1782101""","N/A"
"Wilsonville","IL","1782218","=""1782218""","N/A"
"Winchester","IL","1782270","=""1782270""","0.00"
"Windsor","IL","1782309","=""1782309""","N/A"
"Windsor","IL","1782322","=""1782322""","0.00"
"Winfield","IL","1782400","=""1782400""","0.00"
"Winnebago","IL","1782491","=""1782491""","84.88"
"Winnetka","IL","1782530","=""1782530""","0.00"
"Winslow","IL","1782543","=""1782543""","N/A"
"Winthrop Harbor","IL","1782686","=""1782686""","0.00"
"Witt","IL","1782725","=""1782725""","N/A"
"Wonder Lake","IL","1782855","=""1782855""","0.00"
"Wood Dale","IL","1782985","=""1782985""","0.00"
"Woodhull","IL","1783063","=""1783063""","N/A"
"Woodland","IL","1783102","=""1783102""","N/A"
"Woodlawn","IL","1783206","=""1783206""","N/A"
"Woodridge","IL","1783245","=""1783245""","11.86"
"Wood River","IL","1783271","=""1783271""","15.82"
"Woodson","IL","1783336","=""1783336""","N/A"
"Woodstock","IL","1783349","=""1783349""","45.16"
"Worden","IL","1783505","=""1783505""","37.76"
"Worth","IL","1783518","=""1783518""","0.00"
"Wyanet","IL","1783622","=""1783622""","N/A"
"Wyoming","IL","1783687","=""1783687""","11.88"
"Xenia","IL","1783739","=""1783739""","N/A"
"Yale","IL","1783765","=""1783765""","N/A"
"Yates City","IL","1783817","=""1783817""","N/A"
"Yorkville","IL","1784038","=""1784038""","48.06"
"Zeigler","IL","1784155","=""1784155""","0.00"
"Zion","IL","1784220","=""1784220""","56.84"

"Location: United States"

"City Boundary Year: 2010"

"Indicator source: IHDA"
"http://www.policymap.com/our-data-directory.html#https://www.ihda.org/developers/market-research/opportunity-areas/"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
