"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Lynwood","IL","1745421","=""1745421""","33.20"
"Lyons","IL","1745434","=""1745434""","30.30"
"McClure","IL","1745525","=""1745525""","N/A"
"McCook","IL","1745564","=""1745564""","N/A"
"McCullom Lake","IL","1745616","=""1745616""","31.40"
"Macedonia","IL","1745642","=""1745642""","N/A"
"McHenry","IL","1745694","=""1745694""","29.60"
"Machesney Park","IL","1745726","=""1745726""","22.10"
"Mackinaw","IL","1745785","=""1745785""","28.50"
"McLean","IL","1745811","=""1745811""","N/A"
"McLeansboro","IL","1745824","=""1745824""","27.30"
"McNabb","IL","1745850","=""1745850""","N/A"
"Macomb","IL","1745889","=""1745889""","11.60"
"Macon","IL","1745941","=""1745941""","20.90"
"Madison","IL","1745993","=""1745993""","22.40"
"Maeystown","IL","1746058","=""1746058""","N/A"
"Magnolia","IL","1746110","=""1746110""","N/A"
"Mahomet","IL","1746136","=""1746136""","20.90"
"Makanda","IL","1746214","=""1746214""","N/A"
"Malden","IL","1746240","=""1746240""","N/A"
"Malta","IL","1746279","=""1746279""","31.70"
"Manchester","IL","1746331","=""1746331""","N/A"
"Manhattan","IL","1746357","=""1746357""","33.50"
"Manito","IL","1746383","=""1746383""","27.60"
"Manlius","IL","1746422","=""1746422""","N/A"
"Mansfield","IL","1746487","=""1746487""","N/A"
"Manteno","IL","1746500","=""1746500""","32.10"
"Maple Park","IL","1746604","=""1746604""","30.60"
"Mapleton","IL","1746643","=""1746643""","N/A"
"Maquon","IL","1746695","=""1746695""","N/A"
"Marengo","IL","1746786","=""1746786""","32.90"
"Marietta","IL","1746825","=""1746825""","N/A"
"Marine","IL","1746864","=""1746864""","24.90"
"Marion","IL","1746916","=""1746916""","19.50"
"Marissa","IL","1746955","=""1746955""","31.70"
"Mark","IL","1746981","=""1746981""","N/A"
"Markham","IL","1747007","=""1747007""","31.40"
"Maroa","IL","1747072","=""1747072""","23.40"
"Marquette Heights","IL","1747111","=""1747111""","21.20"
"Marseilles","IL","1747150","=""1747150""","23.60"
"Marshall","IL","1747163","=""1747163""","18.00"
"Martinsville","IL","1747254","=""1747254""","19.70"
"Martinton","IL","1747280","=""1747280""","N/A"
"Maryville","IL","1747397","=""1747397""","26.20"
"Mascoutah","IL","1747423","=""1747423""","24.10"
"Mason","IL","1747449","=""1747449""","33.10"
"Mason City","IL","1747475","=""1747475""","N/A"
"Matherville","IL","1747527","=""1747527""","N/A"
"Matteson","IL","1747540","=""1747540""","34.50"
"Mattoon","IL","1747553","=""1747553""","15.80"
"Maunie","IL","1747592","=""1747592""","N/A"
"Maywood","IL","1747774","=""1747774""","29.10"
"Mazon","IL","1747787","=""1747787""","N/A"
"Mechanicsburg","IL","1748021","=""1748021""","N/A"
"Media","IL","1748073","=""1748073""","N/A"
"Medora","IL","1748138","=""1748138""","N/A"
"Melrose Park","IL","1748242","=""1748242""","25.80"
"Melvin","IL","1748268","=""1748268""","N/A"
"Mendon","IL","1748307","=""1748307""","N/A"
"Mendota","IL","1748333","=""1748333""","20.40"
"Menominee","IL","1748359","=""1748359""","N/A"
"Meredosia","IL","1748424","=""1748424""","26.00"
"Merrionette Park","IL","1748554","=""1748554""","37.40"
"Metamora","IL","1748606","=""1748606""","25.10"
"Metcalf","IL","1748632","=""1748632""","N/A"
"Metropolis","IL","1748645","=""1748645""","17.40"
"Mettawa","IL","1748671","=""1748671""","N/A"
"Middletown","IL","1748853","=""1748853""","N/A"
"Midlothian","IL","1748892","=""1748892""","28.40"
"Milan","IL","1749009","=""1749009""","19.40"
"Milford","IL","1749048","=""1749048""","22.00"
"Millbrook","IL","1749100","=""1749100""","N/A"
"Mill Creek","IL","1749178","=""1749178""","N/A"
"Milledgeville","IL","1749191","=""1749191""","20.40"
"Millington","IL","1749308","=""1749308""","N/A"
"Mill Shoals","IL","1749347","=""1749347""","N/A"
"Millstadt","IL","1749386","=""1749386""","22.10"
"Milton","IL","1749477","=""1749477""","N/A"
"Mineral","IL","1749516","=""1749516""","N/A"
"Minier","IL","1749555","=""1749555""","26.50"
"Minonk","IL","1749568","=""1749568""","27.80"
"Minooka","IL","1749607","=""1749607""","33.50"
"Mitchell","IL","1749698","=""1749698""","27.30"
"Modesto","IL","1749802","=""1749802""","N/A"
"Mokena","IL","1749854","=""1749854""","34.50"
"Moline","IL","1749867","=""1749867""","17.20"
"Momence","IL","1749893","=""1749893""","22.70"
"Monee","IL","1749945","=""1749945""","35.10"
"Monmouth","IL","1750010","=""1750010""","16.20"
"Monroe Center","IL","1750062","=""1750062""","N/A"
"Montgomery","IL","1750218","=""1750218""","30.50"
"Monticello","IL","1750244","=""1750244""","21.00"
"Montrose","IL","1750283","=""1750283""","N/A"
"Morris","IL","1750491","=""1750491""","23.30"
"Morrison","IL","1750530","=""1750530""","23.70"
"Morrisonville","IL","1750543","=""1750543""","N/A"
"Morton","IL","1750621","=""1750621""","29.20"
"Morton Grove","IL","1750647","=""1750647""","N/A"
"Mound City","IL","1750751","=""1750751""","N/A"
"Mounds","IL","1750777","=""1750777""","22.20"
"Mound Station","IL","1750790","=""1750790""","N/A"
"Mount Auburn","IL","1750829","=""1750829""","N/A"
"Mount Carmel","IL","1750868","=""1750868""","18.80"
"Mount Carroll","IL","1750881","=""1750881""","24.40"
"Mount Clare","IL","1750920","=""1750920""","N/A"
"Mount Erie","IL","1750933","=""1750933""","N/A"
"Mount Morris","IL","1750998","=""1750998""","19.00"
"Mount Olive","IL","1751024","=""1751024""","26.60"
"Mount Prospect","IL","1751089","=""1751089""","N/A"
"Mount Pulaski","IL","1751128","=""1751128""","25.40"
"Mount Sterling","IL","1751154","=""1751154""","17.20"
"Mount Vernon","IL","1751180","=""1751180""","14.10"
"Mount Zion","IL","1751206","=""1751206""","20.70"
"Moweaqua","IL","1751232","=""1751232""","25.30"
"Muddy","IL","1751271","=""1751271""","N/A"
"Mulberry Grove","IL","1751284","=""1751284""","N/A"
"Mulkeytown","IL","1751310","=""1751310""","N/A"
"Muncie","IL","1751336","=""1751336""","N/A"
"Mundelein","IL","1751349","=""1751349""","29.50"
"Murphysboro","IL","1751453","=""1751453""","21.90"
"Murrayville","IL","1751479","=""1751479""","N/A"
"Naperville","IL","1751622","=""1751622""","N/A"
"Naplate","IL","1751648","=""1751648""","N/A"
"Naples","IL","1751661","=""1751661""","N/A"
"Nashville","IL","1751700","=""1751700""","16.30"
"Nason","IL","1751726","=""1751726""","N/A"
"Nauvoo","IL","1751791","=""1751791""","22.20"
"Nebo","IL","1751882","=""1751882""","N/A"
"Nelson","IL","1751947","=""1751947""","N/A"
"Neoga","IL","1751986","=""1751986""","24.50"
"Neponset","IL","1751999","=""1751999""","N/A"
"Newark","IL","1752103","=""1752103""","28.90"
"New Athens","IL","1752116","=""1752116""","26.50"
"New Baden","IL","1752142","=""1752142""","26.30"
"New Bedford","IL","1752155","=""1752155""","N/A"
"New Berlin","IL","1752168","=""1752168""","21.90"
"New Boston","IL","1752220","=""1752220""","N/A"
"New Burnside","IL","1752285","=""1752285""","N/A"
"New Canton","IL","1752311","=""1752311""","N/A"
"New Douglas","IL","1752415","=""1752415""","N/A"
"New Grand Chain","IL","1752467","=""1752467""","N/A"
"New Haven","IL","1752506","=""1752506""","N/A"
"New Holland","IL","1752545","=""1752545""","N/A"
"New Lenox","IL","1752584","=""1752584""","35.40"
"Newman","IL","1752623","=""1752623""","N/A"
"New Milford","IL","1752701","=""1752701""","N/A"
"New Minden","IL","1752714","=""1752714""","N/A"
"New Salem","IL","1752805","=""1752805""","N/A"
"Newton","IL","1752844","=""1752844""","21.90"
"Niantic","IL","1752961","=""1752961""","N/A"
"Niles","IL","1753000","=""1753000""","27.80"
"Nilwood","IL","1753039","=""1753039""","N/A"
"Noble","IL","1753143","=""1753143""","N/A"
"Nokomis","IL","1753169","=""1753169""","30.20"
"Nora","IL","1753195","=""1753195""","N/A"
"Normal","IL","1753234","=""1753234""","N/A"
"Norridge","IL","1753377","=""1753377""","32.10"
"Norris","IL","1753390","=""1753390""","25.50"
"Norris City","IL","1753403","=""1753403""","N/A"
"North Aurora","IL","1753442","=""1753442""","26.90"
"North Barrington","IL","1753455","=""1753455""","37.00"
"Northbrook","IL","1753481","=""1753481""","28.70"
"North Chicago","IL","1753559","=""1753559""","15.80"
"North City","IL","1753585","=""1753585""","N/A"
"Northfield","IL","1753663","=""1753663""","29.30"
"North Henderson","IL","1753793","=""1753793""","N/A"
"Northlake","IL","1753871","=""1753871""","24.70"
"North Pekin","IL","1754092","=""1754092""","21.30"
"North Riverside","IL","1754144","=""1754144""","24.60"
"North Utica","IL","1754222","=""1754222""","22.40"
"Norwood","IL","1754404","=""1754404""","N/A"
"Oak Brook","IL","1754534","=""1754534""","28.00"
"Oakbrook Terrace","IL","1754560","=""1754560""","26.40"
"Oakdale","IL","1754586","=""1754586""","N/A"
"Oakford","IL","1754625","=""1754625""","N/A"
"Oak Forest","IL","1754638","=""1754638""","30.60"
"Oak Grove","IL","1754703","=""1754703""","N/A"
"Oakland","IL","1754781","=""1754781""","N/A"
"Oak Lawn","IL","1754820","=""1754820""","N/A"
"Oak Park","IL","1754885","=""1754885""","N/A"
"Oak Run","IL","1754924","=""1754924""","N/A"
"Oakwood","IL","1755002","=""1755002""","N/A"
"Oakwood Hills","IL","1755041","=""1755041""","33.60"
"Oblong","IL","1755106","=""1755106""","21.60"
"Oconee","IL","1755132","=""1755132""","N/A"
"Odell","IL","1755171","=""1755171""","N/A"
"Odin","IL","1755210","=""1755210""","19.70"
"O'Fallon","IL","1755249","=""1755249""","24.50"
"Ogden","IL","1755275","=""1755275""","N/A"
"Oglesby","IL","1755353","=""1755353""","19.80"
"Ohio","IL","1755379","=""1755379""","N/A"
"Ohlman","IL","1755418","=""1755418""","N/A"
"Okawville","IL","1755470","=""1755470""","26.70"
"Old Mill Creek","IL","1755639","=""1755639""","N/A"
"Old Ripley","IL","1755717","=""1755717""","N/A"
"Old Shawneetown","IL","1755756","=""1755756""","N/A"
"Olive Branch","IL","1755847","=""1755847""","N/A"
"Olivet","IL","1755886","=""1755886""","N/A"
"Olmsted","IL","1755899","=""1755899""","N/A"
"Olney","IL","1755912","=""1755912""","16.10"
"Olympia Fields","IL","1755938","=""1755938""","39.10"
"Omaha","IL","1756003","=""1756003""","N/A"
"Onarga","IL","1756081","=""1756081""","19.80"
"Oneida","IL","1756159","=""1756159""","N/A"
"Opdyke","IL","1756198","=""1756198""","N/A"
"Oquawka","IL","1756237","=""1756237""","22.70"
"Orangeville","IL","1756341","=""1756341""","N/A"
"Oreana","IL","1756471","=""1756471""","N/A"
"Oregon","IL","1756484","=""1756484""","23.30"
"Orient","IL","1756536","=""1756536""","N/A"
"Orion","IL","1756601","=""1756601""","26.60"
"Orland Hills","IL","1756627","=""1756627""","33.50"
"Orland Park","IL","1756640","=""1756640""","N/A"
"Oswego","IL","1756887","=""1756887""","34.20"
"Ottawa","IL","1756926","=""1756926""","19.40"
"Otterville","IL","1756978","=""1756978""","N/A"
"Owaneco","IL","1757043","=""1757043""","N/A"
"Paderborn","IL","1757160","=""1757160""","N/A"
"Palatine","IL","1757225","=""1757225""","N/A"
"Palestine","IL","1757277","=""1757277""","19.50"
"Palmer","IL","1757303","=""1757303""","N/A"
"Palmyra","IL","1757329","=""1757329""","N/A"
"Palos Heights","IL","1757381","=""1757381""","35.40"
"Palos Hills","IL","1757394","=""1757394""","32.20"
"Palos Park","IL","1757407","=""1757407""","31.90"
"Pana","IL","1757472","=""1757472""","22.30"
"Panama","IL","1757498","=""1757498""","N/A"
"Panola","IL","1757524","=""1757524""","N/A"
"Papineau","IL","1757576","=""1757576""","N/A"
"Paris","IL","1757628","=""1757628""","14.10"
"Park City","IL","1757654","=""1757654""","25.20"
"Parkersburg","IL","1757693","=""1757693""","N/A"
"Park Forest","IL","1757732","=""1757732""","32.90"
"Park Ridge","IL","1757875","=""1757875""","31.00"
"Patoka","IL","1758057","=""1758057""","N/A"
"Pawnee","IL","1758174","=""1758174""","27.30"
"Paw Paw","IL","1758226","=""1758226""","N/A"
"Paxton","IL","1758239","=""1758239""","19.00"
"Payson","IL","1758265","=""1758265""","25.00"
"Pearl","IL","1758343","=""1758343""","N/A"
"Pearl City","IL","1758369","=""1758369""","N/A"
"Pecatonica","IL","1758408","=""1758408""","26.50"
"Pekin","IL","1758447","=""1758447""","20.20"
"Penfield","IL","1758577","=""1758577""","N/A"
"Peoria","IL","1759000","=""1759000""","N/A"
"Peoria Heights","IL","1759026","=""1759026""","18.50"
"Peotone","IL","1759052","=""1759052""","33.30"
"Percy","IL","1759104","=""1759104""","N/A"
"Perry","IL","1759156","=""1759156""","N/A"
"Peru","IL","1759234","=""1759234""","14.30"
"Pesotum","IL","1759273","=""1759273""","N/A"
"Petersburg","IL","1759312","=""1759312""","24.10"
"Phillipstown","IL","1759520","=""1759520""","N/A"
"Philo","IL","1759533","=""1759533""","21.00"
"Phoenix","IL","1759572","=""1759572""","28.40"
"Pierron","IL","1759709","=""1759709""","N/A"
"Pinckneyville","IL","1759884","=""1759884""","27.80"
"Pingree Grove","IL","1759988","=""1759988""","42.40"
"Piper City","IL","1760079","=""1760079""","N/A"
"Pistakee Highlands","IL","1760144","=""1760144""","37.50"
"Pittsburg","IL","1760209","=""1760209""","N/A"
"Pittsfield","IL","1760222","=""1760222""","23.90"
"Plainfield","IL","1760287","=""1760287""","37.90"
"Plainville","IL","1760339","=""1760339""","N/A"
"Plano","IL","1760352","=""1760352""","30.00"
"Plattville","IL","1760391","=""1760391""","N/A"
"Pleasant Hill","IL","1760534","=""1760534""","34.00"
"Pleasant Plains","IL","1760599","=""1760599""","N/A"
"Plymouth","IL","1760833","=""1760833""","N/A"
"Pocahontas","IL","1760872","=""1760872""","N/A"
"Polo","IL","1760937","=""1760937""","25.80"
"Pontiac","IL","1761015","=""1761015""","16.60"
"Pontoon Beach","IL","1761067","=""1761067""","24.90"
"Pontoosuc","IL","1761080","=""1761080""","N/A"
"Poplar Grove","IL","1761145","=""1761145""","32.10"
"Port Barrington","IL","1761216","=""1761216""","40.20"
"Port Byron","IL","1761223","=""1761223""","24.40"
"Posen","IL","1761314","=""1761314""","37.90"
"Potomac","IL","1761366","=""1761366""","N/A"
"Prairie City","IL","1761548","=""1761548""","N/A"
"Prairie du Rocher","IL","1761639","=""1761639""","N/A"
"Prairie Grove","IL","1761678","=""1761678""","36.20"
"Prestbury","IL","1761821","=""1761821""","30.80"
"Preston Heights","IL","1761860","=""1761860""","25.10"
"Princeton","IL","1761899","=""1761899""","15.10"
"Princeville","IL","1761925","=""1761925""","23.00"
"Prophetstown","IL","1761977","=""1761977""","22.30"
"Prospect Heights","IL","1762016","=""1762016""","24.50"
"Pulaski","IL","1762211","=""1762211""","N/A"
"Quincy","IL","1762367","=""1762367""","13.60"
"Radom","IL","1762523","=""1762523""","N/A"
"Raleigh","IL","1762588","=""1762588""","N/A"
"Ramsey","IL","1762627","=""1762627""","27.10"
"Rankin","IL","1762744","=""1762744""","N/A"
"Ransom","IL","1762757","=""1762757""","N/A"
"Rantoul","IL","1762783","=""1762783""","22.90"
"Rapids City","IL","1762822","=""1762822""","N/A"
"Raritan","IL","1762848","=""1762848""","N/A"
"Raymond","IL","1762965","=""1762965""","N/A"
"Red Bud","IL","1763043","=""1763043""","26.30"
"Reddick","IL","1763056","=""1763056""","N/A"
"Redmon","IL","1763069","=""1763069""","N/A"
"Rentchler","IL","1763355","=""1763355""","N/A"
"Reynolds","IL","1763420","=""1763420""","N/A"
"Richmond","IL","1763641","=""1763641""","27.80"
"Richton Park","IL","1763706","=""1763706""","32.80"
"Richview","IL","1763719","=""1763719""","N/A"
"Ridge Farm","IL","1763862","=""1763862""","N/A"
"Ridgway","IL","1764018","=""1764018""","N/A"
"Ridott","IL","1764044","=""1764044""","N/A"
"Ringwood","IL","1764135","=""1764135""","N/A"
"Rio","IL","1764148","=""1764148""","N/A"
"Ripley","IL","1764174","=""1764174""","N/A"
"Riverdale","IL","1764278","=""1764278""","39.40"
"River Forest","IL","1764304","=""1764304""","31.00"
"River Grove","IL","1764343","=""1764343""","33.80"
"Riverside","IL","1764421","=""1764421""","31.00"
"Riverton","IL","1764486","=""1764486""","20.20"
"Riverwoods","IL","1764538","=""1764538""","33.00"
"Roanoke","IL","1764590","=""1764590""","24.50"
"Robbins","IL","1764616","=""1764616""","34.00"
"Roberts","IL","1764655","=""1764655""","N/A"
"Robinson","IL","1764707","=""1764707""","12.00"
"Rochelle","IL","1764746","=""1764746""","21.60"
"Rochester","IL","1764759","=""1764759""","21.60"
"Rockbridge","IL","1764811","=""1764811""","N/A"
"Rock City","IL","1764837","=""1764837""","N/A"
"Rockdale","IL","1764902","=""1764902""","20.10"
"Rock Falls","IL","1764928","=""1764928""","15.70"
"Rockford","IL","1765000","=""1765000""","N/A"
"Rock Island","IL","1765078","=""1765078""","17.60"
"Rock Island Arsenal","IL","1765104","=""1765104""","N/A"
"Rockton","IL","1765156","=""1765156""","26.00"
"Rockwood","IL","1765221","=""1765221""","N/A"
